,classifier,feature count,fit_time_mean,fit_time_std,score_time_mean,score_time_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
49,BernoulliNB,49,0.7277657508850097,0.01664751609472767,1.0297637939453126,0.0046054691606769,0.9594476346732295,0.00028807657664501934,0.96153917625949,0.0002694189989785185,0.9583903071608747,0.00029680737581433235,0.9579278502231212,0.000301405213570863
50,DecisionTree,49,1.5756432056427,0.029498431498354006,0.7102270126342773,0.010431293307546309,0.9998743616463059,1.138951215915372e-05,0.9998772566907874,1.1240428439493804e-05,0.9998706753374147,1.1723668995979735e-05,0.9998739424035206,1.1483791271078787e-05
51,ExtraTrees,49,11.75082631111145,0.13305030920708205,4.57032790184021,0.04563445056941946,0.9914484624082656,0.0016307754381429133,0.9914679648192604,0.0016280622885756356,0.9911976346111813,0.0016786510417365565,0.991275749551803,0.0016783112294365065
52,GaussianNB,49,0.7478550910949707,0.02132825961778434,1.740926456451416,0.03145856664962984,0.9899873622597166,0.00019379582095834064,0.9898830989053774,0.00019686841547831993,0.9898418381232268,0.0001958199509594262,0.9898160255466604,0.00019766902039540664
53,GradientBoosting,49,794.1551021575928,31.288368963085397,8.94099726676941,0.19714480113989324,0.9998411044350339,1.9483443564716058e-05,0.9998425514546708,2.0371460247156025e-05,0.9998393306897835,1.874880366746068e-05,0.9998409326831897,1.9548209198101906e-05
54,KNeighbors,49,0.6027490615844726,0.08390963355114808,2858.913341188431,61.38121115763352,0.8732626802356089,0.0002422948680319924,0.8714936578835012,0.0002679761063772476,0.8695497161495866,0.00024903980422972687,0.867231362010058,0.00025939990417571623
55,LinearSVC,49,24.698136043548583,0.7465055270471413,0.6873659610748291,0.01077728933186026,0.9914085537547391,0.003886504064572077,0.9916547031901578,0.0036845394195437198,0.9911564717560996,0.00400054133556091,0.9912871933322795,0.003964445409734091
56,RadiusNeighbors,49,0.515869426727295,0.010212038614934155,1058.6312297821046,0.9124306989502414,0.34581365614999743,0.0004907077588687616,0.7999958430820528,2.183079419356554e-06,0.2694854384383072,0.00038394887435945783,0.3146078106225737,0.0003859501519573115
57,RandomForest,49,23.738962936401368,0.4944332493240515,4.791811847686768,0.01770086060896862,0.9985060121647489,0.0001382910834989717,0.9984763057309994,0.00014094831353263863,0.9984621870891015,0.0001423476275324287,0.998465528965468,0.0001425078830138972
58,SGD,49,16.68786177635193,1.118567404799657,0.6880753993988037,0.010246137645278864,0.9502845339186601,0.0038532415079885005,0.9516733899575751,0.0035593709815616528,0.9489752386817718,0.003940549266217215,0.9491290557114442,0.0039925336708700795
59,SVC,49,18.421125984191896,0.043713959245878196,103.09102616310119,1.617854427328735,0.36509914344204747,0.04251084249464042,0.5328328588593041,0.08201553228679027,0.3687177055161592,0.040994008263767,0.3073138300951141,0.04984591868386585
